time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180610:0810,1441.5,471.36,258.23,5.3,41.46,19.28,2.21,0
20180610:0910,1761.97,745.52,167.28,7.01,50.02,20.45,2.21,0
20180610:1010,1773.57,759.2,161.31,7.8,57.05,21.34,2.41,0
20180610:1110,1698.43,720.16,153.81,8.2,61.12,21.59,2.69,0
20180610:1210,1215.1,241.55,376.24,6.26,60.84,21.95,2.83,0
20180610:1310,868.25,64.62,378.75,4.55,56.33,22.43,2.76,0
20180610:1410,864.95,143.14,300.85,5.3,49.05,22.46,2.69,0
20180610:1510,612.88,117.64,211.1,4.83,40.37,22.7,3.03,0
20180610:1610,340.63,40.51,160.09,3.65,31.12,22.49,3.24,0
20180610:1710,202.34,0,116.28,1.18,21.81,22.3,3.31,0
20180610:1810,126.26,0,78.44,0.8,12.82,21.66,2.9,0
20180610:1910,2.53,0,8.31,0.08,4.46,20.35,3.31,0
20180610:2010,0,0,0,0,0,19.14,3.03,0
20180610:2110,0,0,0,0,0,17.96,3.1,0
20180610:2210,0,0,0,0,0,17.07,3.03,0
20180610:2310,0,0,0,0,0,16.3,2.83,0
20180611:0010,0,0,0,0,0,15.62,2.69,0
20180611:0110,0,0,0,0,0,14.97,2.62,0
20180611:0210,0,0,0,0,0,14.37,2.48,0
20180611:0310,0,0,0,0,0,13.84,2.55,0
20180611:0410,244.97,93.65,42.28,0.5,5.45,13.45,2.55,0
20180611:0510,760.59,265.23,106.55,1.71,13.9,13.78,2.69,0
20180611:0610,878.14,240.7,185.85,2.67,22.95,14.74,2.97,0
20180611:0710,1511.68,581.01,159.56,4.61,32.27,15.54,3.45,0
20180611:0810,950.88,146.49,320.68,3.95,41.48,16.92,3.59,0
20180611:0910,1784.61,691.06,204.27,6.91,50.06,18.33,3.93,0
20180611:1010,1814.69,730.32,186.68,7.78,57.1,19.53,3.93,0
20180611:1110,1778.53,776.08,123.59,8.44,61.18,20.58,3.93,0
20180611:1210,1545.71,611.15,166.87,8.15,60.92,21.68,4.07,0
20180611:1310,1195.46,333.97,267.81,6.89,56.41,22.43,4.21,0
20180611:1410,937.79,294.14,184.76,6.51,49.14,22.83,4.07,0
20180611:1510,284.11,0,156.27,1.54,40.45,22.81,3.79,0
20180611:1610,198.25,0,114.34,1.12,31.2,22.43,3.59,0
20180611:1710,35.46,0,30.46,0.31,21.9,21.91,2.97,0
20180611:1810,42.01,0,34.15,0.35,12.9,21.36,3.03,0
20180611:1910,0,0,3.69,0.04,4.55,20.21,2.9,0
20180611:2010,0,0,0,0,0,19.3,3.45,0
20180611:2110,0,0,0,0,0,18.41,3.86,0
20180611:2210,0,0,0,0,0,17.46,4.07,0
20180611:2310,0,0,0,0,0,16.47,3.93,0
20180612:0010,0,0,0,0,0,15.5,3.59,0
20180612:0110,0,0,0,0,0,14.72,3.17,0
20180612:0210,0,0,0,0,0,14.05,2.9,0
20180612:0310,0,0,0,0,0,13.46,2.9,0
20180612:0410,0,0,4.76,0.05,5.48,13.1,3.03,0
20180612:0510,78.84,0,52.41,0.52,13.92,13.25,3.17,0
20180612:0610,128.66,0,77.18,0.76,22.97,13.94,3.52,0
20180612:0710,400.92,10.99,193.88,1.96,32.29,14.54,3.45,0
20180612:0810,548.33,17.96,256.44,2.62,41.5,15.31,3.45,0
20180612:0910,502.5,2.47,251.74,2.49,50.08,15.97,3.38,0
20180612:1010,446.95,0,229.63,2.26,57.14,17.18,2.97,0
20180612:1110,919.29,58.79,401.02,4.47,61.24,18.04,2.55,0
20180612:1210,1112.48,150.86,408.61,5.61,60.99,18.42,2.07,0
20180612:1310,851.16,51.01,378.55,4.38,56.49,19.04,2.14,0
20180612:1410,420.24,0,219.15,2.15,49.22,19.1,2.48,0
20180612:1510,309.36,0,165.79,1.63,40.53,18.93,3.31,0
20180612:1610,254.72,0,139.11,1.37,31.28,18.16,4.34,0
20180612:1710,43.05,0,34.15,0.35,21.98,17.04,4.55,0
20180612:1810,15.13,0,17.53,0.18,12.98,16.21,4.41,0
20180612:1910,7.22,0,12,0.12,4.63,15.28,3.45,0
20180612:2010,0,0,0,0,0,14.95,3.1,0
20180612:2110,0,0,0,0,0,14.69,3.03,0
20180612:2210,0,0,0,0,0,14.29,2.97,0
20180612:2310,0,0,0,0,0,13.72,2.97,0
20180613:0010,0,0,0,0,0,13.25,2.83,0
20180613:0110,0,0,0,0,0,13.06,2.69,0
20180613:0210,0,0,0,0,0,12.72,2.41,0
20180613:0310,0,0,0,0,0,12.75,2.41,0
20180613:0410,0.1,0,5.72,0.06,5.5,12.84,2.48,0
20180613:0510,73.18,0,49.55,0.49,13.94,13.16,2.21,0
20180613:0610,140.59,0,82.9,0.82,22.98,13.76,3.1,0
20180613:0710,325,1.57,167.87,1.66,32.3,14.21,4.14,0
20180613:0810,865.87,102.23,319.75,3.7,41.52,15.02,4,0
20180613:0910,1570.16,449.97,324.24,6.22,50.1,15.98,3.86,0
20180613:1010,563.33,2.22,281.22,2.78,57.17,16.66,3.86,0
20180613:1110,949.94,60.8,408.79,4.56,61.29,17.01,3.72,0
20180613:1210,608.94,2.65,303.97,3.02,61.06,17.65,3.72,0
20180613:1310,776.96,25.14,362.78,3.89,56.57,18.09,3.79,0
20180613:1410,496.5,1.25,252.37,2.5,49.29,18.04,3.66,0
