time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160523:0411,10.49,0,13.99,0.38,4.94,13.32,1.24,0
20160523:0511,42.41,0,32.79,0.84,13.45,13.24,1.45,0
20160523:0611,60.98,0,42.54,1.09,22.47,13.23,1.66,0
20160523:0711,90.72,0,57.6,1.47,31.64,13.75,0.97,0
20160523:0811,181.44,0,101.03,2.58,40.55,13.96,1.03,0
20160523:0911,175.44,0,98.37,2.51,48.62,14.46,1.31,0
20160523:1011,182.01,0,101.92,2.6,54.92,15.51,1.24,0
20160523:1111,187.66,0,104.57,2.67,58.17,15.69,1.66,0
20160523:1211,201.45,0,110.78,2.83,57.33,15.35,2.34,0
20160523:1311,200.28,0,109.89,2.81,52.71,15.01,3.66,0
20160523:1411,188.58,0,103.69,2.65,45.57,13.41,4.41,0
20160523:1511,187.61,0,102.8,2.62,37.08,12.39,4.41,0
20160523:1611,174.49,0,96.6,2.47,28,11.93,4.14,0
20160523:1711,166.04,0.78,92.01,2.4,18.85,11.55,4.76,0
20160523:1811,3.87,0,9.05,0.25,9.99,11.27,4.97,0
20160523:1911,0,0,0,0,0,11.48,4.28,0
20160523:2011,0,0,0,0,0,11.12,4,0
20160523:2111,0,0,0,0,0,10.79,3.93,0
20160523:2211,0,0,0,0,0,10.56,3.79,0
20160523:2311,0,0,0,0,0,10.38,3.79,0
20160524:0011,0,0,0,0,0,10.17,3.93,0
20160524:0111,0,0,0,0,0,9.88,3.79,0
20160524:0211,0,0,0,0,0,9.62,3.52,0
20160524:0311,0,0,0,0,0,9.49,3.38,0
20160524:0411,0,0,4.12,0.11,5.08,9.45,3.38,0
20160524:0511,72.91,0,47.86,1.22,13.58,9.57,3.86,0
20160524:0611,246.91,4.2,124.95,3.33,22.59,9.92,4.34,0
20160524:0711,166.58,0,92.17,2.35,31.77,10.02,4.9,0
20160524:0811,231.98,0,122.3,3.12,40.69,10.76,4.34,0
20160524:0911,475.04,2.24,229.75,5.9,48.77,11.29,4.07,0
20160524:1011,248.27,0,130.28,3.33,55.09,11.77,3.86,0
20160524:1111,337.26,0,171.04,4.37,58.35,12.47,3.72,0
20160524:1211,324.83,0,165.72,4.23,57.52,12.87,3.66,0
20160524:1311,283.49,0,147.11,3.76,52.89,13.1,3.59,0
20160524:1411,341.32,0,173.7,4.43,45.74,13.45,3.45,0
20160524:1511,296.61,0,153.32,3.91,37.23,13.36,3.31,0
20160524:1611,242.15,0.76,127.63,3.28,28.16,13.16,3.17,0
20160524:1711,139.38,0,80.65,2.06,19,12.88,3.03,0
20160524:1811,53.92,0,38.69,1.06,10.15,12.48,2.69,0
20160524:1911,0,0,0,0,0,11.02,2.69,0
20160524:2011,0,0,0,0,0,10.78,2,0
20160524:2111,0,0,0,0,0,10.64,1.72,0
20160524:2211,0,0,0,0,0,10.57,1.52,0
20160524:2311,0,0,0,0,0,10.44,1.38,0
20160525:0011,0,0,0,0,0,10.34,1.52,0
20160525:0111,0,0,0,0,0,10.25,1.59,0
20160525:0211,0,0,0,0,0,10.17,1.72,0
20160525:0311,0,0,0,0,0,10.12,1.72,0
20160525:0411,0,0,4.12,0.11,5.22,9.93,1.72,0
20160525:0511,22.34,0,21.27,0.54,13.71,10.2,1.93,0
20160525:0611,94.09,0,58.49,1.49,22.72,10.74,2.34,0
20160525:0711,195.67,0,106.35,2.71,31.89,11.39,2.14,0
20160525:0811,297.75,0,153.32,3.91,40.82,12.18,2.41,0
20160525:0911,503.59,4.48,243.28,6.29,48.92,12.78,2.21,0
20160525:1011,579.28,6.9,276.37,7.17,55.26,13.18,2.07,0
20160525:1111,472.27,0,234.85,5.99,58.53,13.97,2.07,0
20160525:1211,391.44,0,198.51,5.07,57.7,15,2.07,0
20160525:1311,199.47,0,109.89,2.81,53.06,15.35,2.07,0
